mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
98,0.975,0.00018339417695370587,3.903348151994364e-05,9.751822716085264e-08,2.0570151192835875e-08,4.69838123099532,2822.565044695122,0.0747450625,0.0747450625
99,0.985,0.00017455269528792673,3.72389150138956e-05,9.191773067889339e-08,1.921596493537639e-08,4.68737328203018,2815.9519900204996,0.0747450625,0.09131031249999999
100,0.995,0.00016616725689136516,3.553412362942688e-05,9.40860317463523e-08,1.9247587451769323e-08,4.676272830709607,2809.283364309352,0.0747450625,0.0948203125
101,1.005,0.00015821617275139113,3.3913474172897844e-05,9.127400595496741e-08,1.864182053965947e-08,4.665289434658703,2802.685059863385,0.0747450625,0.09481543749999999
102,1.015,0.0001506642150082623,3.236850274711373e-05,8.917013554224894e-08,1.8334527852440975e-08,4.654655057274681,2796.296429311607,0.0747450625,0.08837068749999999
103,1.025,0.00014348492364350582,3.0894922852376805e-05,8.41245374754883e-08,1.757301378427591e-08,4.644288135274215,2790.068473294212,0.0747450625,0.08837068749999999
104,1.035,0.0001366792733297131,2.949733620031318e-05,8.228832803127075e-08,1.740349054951608e-08,4.633614113543647,2783.6560262956023,0.0747450625,0.08837068749999999
105,1.045,0.0001302116116152735,2.8164946664760308e-05,8.508627123705205e-08,1.794138674332039e-08,4.6231797689925305,2777.387566001237,0.0690559375,0.08837068749999999
106,1.055,0.0001240394548158585,2.689016946350594e-05,8.345249650990674e-08,1.7804079582374526e-08,4.61281789183958,2771.1626406894293,0.0747450625,0.0948203125
107,1.065,0.00011819354702315045,2.5679471938669543e-05,7.547277832913112e-08,1.6324488000327962e-08,4.60264709903042,2765.0525098063526,0.0902524375,0.0902524375
108,1.075,0.00011264524002061644,2.4528033389692666e-05,7.697288698526334e-08,1.6617077608888563e-08,4.592510057000859,2758.9626547940593,0.0747450625,0.0948203125
109,1.085,0.00010735173644571902,2.3426716538928434e-05,7.492443709194164e-08,1.625256973834823e-08,4.582449113913658,2752.9185164241753,0.0798491875,0.0948203125
110,1.095,0.0001023003325556026,2.237267763999743e-05,7.039587168777876e-08,1.519836607346917e-08,4.572556499572142,2746.975501996822,0.08210143750000001,0.0948203125
111,1.105,9.750600511587335e-05,2.137092749917441e-05,7.174508945156693e-08,1.5221389739074687e-08,4.562553736595669,2740.9663154834952,0.08210143750000001,0.0912615625
112,1.115,9.297261610309835e-05,2.0420256570755284e-05,6.801158976977894e-08,1.4289467204396425e-08,4.552960232451162,2735.202992304059,0.08210143750000001,0.08210143750000001
113,1.125,8.864591016610617e-05,1.951154125748062e-05,6.541332550734737e-08,1.38640501303842e-08,4.543255143010284,2729.3726339604773,0.08210143750000001,0.08210143750000001
114,1.135,8.454791380777947e-05,1.8647242093129563e-05,6.827313507382871e-08,1.4292006652276028e-08,4.534070689141239,2723.8550488240558,0.08210143750000001,0.08210143750000001
115,1.145,8.064057557601659e-05,1.7821694456800497e-05,6.842498044501069e-08,1.4417602665705563e-08,4.524854568205512,2718.3184396129395,0.08210143750000001,0.08210143750000001
116,1.155,7.691664146035871e-05,1.7034306330230404e-05,6.51268693892468e-08,1.3962415255234904e-08,4.515396164025562,2712.636278097223,0.08210143750000001,0.08210143750000001
117,1.165,7.336424338287235e-05,1.628109565374723e-05,6.423156716738241e-08,1.392637185627649e-08,4.506099892975382,2707.051518491266,0.08210143750000001,0.09316768750000001
118,1.175,6.99710530313376e-05,1.5559939131876264e-05,5.970118113637967e-08,1.3163291305438236e-08,4.4968718989391245,2701.5077764833663,0.08210143750000001,0.09316768750000001
119,1.185,6.67539364739155e-05,1.4874451661243137e-05,5.7260583758878796e-08,1.262595075701393e-08,4.487825030071496,2696.0728459031807,0.08210143750000001,0.08210143750000001
120,1.195,6.370256556628023e-05,1.4221981142389862e-05,5.743753154076527e-08,1.2640814248288178e-08,4.479162567331013,2690.8688483282363,0.043574312500000004,0.09316768750000001
121,1.205,6.079380355496028e-05,1.3599795647624472e-05,5.8609507885054554e-08,1.280867015245064e-08,4.470199783154784,2685.484431850476,0.07947381249999999,0.09316768750000001
122,1.215,5.802767905562146e-05,1.3006327542502856e-05,5.736955421730153e-08,1.2541003626241301e-08,4.46149605766848,2680.255645571024,0.0866741875,0.09316768750000001
123,1.225,5.536860676229575e-05,1.24344692710759e-05,5.25598463238733e-08,1.1460453918854532e-08,4.452832328846549,2675.0508873942767,0.07947381249999999,0.09316768750000001
124,1.235,5.2851803119488406e-05,1.1892176306082566e-05,4.754536136330914e-08,1.0240390582432862e-08,4.4442498798521815,2669.894958290531,0.07947381249999999,0.09316768750000001
125,1.245,5.045489823493178e-05,1.1374995527107607e-05,4.700592603241669e-08,1.0220408242680742e-08,4.435597193396108,2664.6968338444976,0.07947381249999999,0.07947381249999999
126,1.255,4.818015592016644e-05,1.0883083766222043e-05,4.63254174182029e-08,1.0268303219558415e-08,4.427068370979903,2659.573121050487,0.0458948125,0.0458948125
127,1.265,4.599468910389318e-05,1.040982029504877e-05,4.667717424100578e-08,1.011414486177701e-08,4.41839415093166,2654.3620602415754,0.07947381249999999,0.09468868750000001
128,1.275,4.392541416478648e-05,9.960707537902322e-06,4.675814749858418e-08,1.0062501743887084e-08,4.409868877049368,2649.240479238769,0.0840611875,0.0941719375
